X ; Y ; T ; dT ;
0 ; 0 ; 0;-9.25596e+61;
0 ; 0.00303951 ; 0;-9.25596e+61;
0 ; 0.00607903 ; 0;-9.25596e+61;
0 ; 0.00911854 ; 0;-9.25596e+61;
0 ; 0.0121581 ; 0;-9.25596e+61;
0 ; 0.0151976 ; 0;-9.25596e+61;
0 ; 0.0182371 ; 0;-9.25596e+61;
0 ; 0.0212766 ; 0;-9.25596e+61;
0 ; 0.0243161 ; 0;-9.25596e+61;
0 ; 0.0273556 ; 0;-9.25596e+61;
0 ; 0.0303951 ; 0;-9.25596e+61;
0 ; 0.0334347 ; 0;-9.25596e+61;
0 ; 0.0364742 ; 0;-9.25596e+61;
0 ; 0.0395137 ; 0;-9.25596e+61;
0 ; 0.0425532 ; 0;-9.25596e+61;
0 ; 0.0455927 ; 0;-9.25596e+61;
0 ; 0.0486322 ; 0;-9.25596e+61;
0 ; 0.0516717 ; 0;-9.25596e+61;
0 ; 0.0547112 ; 0;-9.25596e+61;
0 ; 0.0577508 ; 0;-9.25596e+61;
0 ; 0.0607903 ; 0;-9.25596e+61;
0 ; 0.0638298 ; 0;-9.25596e+61;
0 ; 0.0668693 ; 0;-9.25596e+61;
0 ; 0.0699088 ; 0;-9.25596e+61;
0 ; 0.0729483 ; 0;-9.25596e+61;
0 ; 0.0759878 ; 0;-9.25596e+61;
0 ; 0.0790274 ; 0;-9.25596e+61;
0 ; 0.0820669 ; 0;-9.25596e+61;
0 ; 0.0851064 ; 0;-9.25596e+61;
0 ; 0.0881459 ; 0;-9.25596e+61;
0 ; 0.0911854 ; 0;-9.25596e+61;
0 ; 0.0942249 ; 0;-9.25596e+61;
0 ; 0.0972644 ; 0;-9.25596e+61;
0 ; 0.100304 ; 0;-9.25596e+61;
0 ; 0.103343 ; 0;-9.25596e+61;
0 ; 0.106383 ; 0;-9.25596e+61;
0 ; 0.109422 ; 0;-9.25596e+61;
0 ; 0.112462 ; 0;-9.25596e+61;
0 ; 0.115502 ; 0;-9.25596e+61;
0 ; 0.118541 ; 0;-9.25596e+61;
0 ; 0.121581 ; 0;-9.25596e+61;
0 ; 0.12462 ; 0;-9.25596e+61;
0 ; 0.12766 ; 0;-9.25596e+61;
0 ; 0.130699 ; 0;-9.25596e+61;
0 ; 0.133739 ; 0;-9.25596e+61;
0 ; 0.136778 ; 0;-9.25596e+61;
